Epic,Feature,User Story,Subtask,Priority,Status
Backend Migration - Cosmos SDK Integration,Blockchain Service Replacement,"As a backend developer, I want to replace HederaService with SawtakCosmosService so that complaint submissions work with our Cosmos SDK blockchain",Create SawtakCosmosService implementing IBlockchainService interface,High,Pending
Backend Migration - Cosmos SDK Integration,Blockchain Service Replacement,"As a backend developer, I want to replace HederaService with SawtakCosmosService so that complaint submissions work with our Cosmos SDK blockchain",Implement submitMessage() using CosmJS SigningStargateClient.signAndBroadcast(),High,Pending
Backend Migration - Cosmos SDK Integration,Blockchain Service Replacement,"As a backend developer, I want to replace HederaService with SawtakCosmosService so that complaint submissions work with our Cosmos SDK blockchain",Map message payloads to Cosmos SDK Msg types (MsgCreateAnonymousComplaint, etc.),High,Pending
Backend Migration - Cosmos SDK Integration,Blockchain Service Replacement,"As a backend developer, I want to replace HederaService with SawtakCosmosService so that complaint submissions work with our Cosmos SDK blockchain",Add CosmJS dependencies (@cosmjs/stargate, @cosmjs/proto-signing) to package.json,High,Pending
Backend Migration - Cosmos SDK Integration,Blockchain Service Replacement,"As a backend developer, I want to replace HederaService with SawtakCosmosService so that complaint submissions work with our Cosmos SDK blockchain",Add COSMOS_* environment variables to config (RPC, gRPC, WS endpoints, backend mnemonic/address, chain ID, gas price),High,Pending
Backend Migration - Cosmos SDK Integration,Indexer Service Migration,"As an indexer operator, I want to replace HederaIndexerService with CosmosIndexerService so that complaint data is indexed from our Cosmos blockchain",Create CosmosIndexerService using Tendermint34Client for WebSocket subscription,High,Pending
Backend Migration - Cosmos SDK Integration,Indexer Service Migration,"As an indexer operator, I want to replace HederaIndexerService with CosmosIndexerService so that complaint data is indexed from our Cosmos blockchain",Implement processBlock() to decode tx events and filter by message.action,High,Pending
Backend Migration - Cosmos SDK Integration,Indexer Service Migration,"As an indexer operator, I want to replace HederaIndexerService with CosmosIndexerService so that complaint data is indexed from our Cosmos blockchain",Implement indexAnonymousComplaint() / indexIdentifiedComplaint() / indexStatusUpdate() handlers,High,Pending
Backend Migration - Cosmos SDK Integration,Indexer Service Migration,"As an indexer operator, I want to replace HederaIndexerService with CosmosIndexerService so that complaint data is indexed from our Cosmos blockchain",Add indexer endpoints: GET /api/indexer/status (lastBlockHeight, syncStatus), POST /api/indexer/start (Tendermint WS), POST /api/indexer/reindex,High,Pending
Backend Migration - Cosmos SDK Integration,Prisma Schema Update,"As a database admin, I want to update the Prisma schema so that indexedComplaint supports cosmos_hash fields",Add cosmos_hash field (primary key) to replace/alongside hcs_hash,High,Pending
Backend Migration - Cosmos SDK Integration,Prisma Schema Update,"As a database admin, I want to update the Prisma schema so that indexedComplaint supports cosmos_hash fields",Add chain_type field ("hedera" | "cosmos") to support dual-chain during transition,Medium,Pending
Backend Migration - Cosmos SDK Integration,Prisma Schema Update,"As a database admin, I want to update the Prisma schema so that indexedComplaint supports cosmos_hash fields",Update indexedStatusUpdate to use cosmos_tx_hash + sequence,Medium,Pending
Backend Migration - Cosmos SDK Integration,Service Injection Refactor,"As a backend developer, I want to update dependency injection so that Cosmos services replace Hedera services",Update AnonymousSubmissionService constructor to default to SawtakCosmosService instead of HederaService,High,Pending
Backend Migration - Cosmos SDK Integration,Service Injection Refactor,"As a backend developer, I want to update dependency injection so that Cosmos services replace Hedera services",Update ComplaintStatusService to use Cosmos blockchain service,High,Pending
Backend Migration - Cosmos SDK Integration,Route Documentation Update,"As an API consumer, I want updated endpoint documentation so I understand Cosmos-based responses",Update POST /api/complaints/anonymous/submit response schema (remove HCS/Topic references, add Cosmos tx hash),Medium,Pending
Backend Migration - Cosmos SDK Integration,Route Documentation Update,"As an API consumer, I want updated endpoint documentation so I understand Cosmos-based responses",Update route descriptions to remove "Hedera blockchain" references,Medium,Pending
Backend Migration - Cosmos SDK Integration,Testing Updates,"As a QA engineer, I want updated tests for Cosmos so I can verify the migration works",Update Anonymous-submission.test.ts to use Cosmos test setup instead of @hiero-ledger/sdk,High,Pending
Backend Migration - Cosmos SDK Integration,Testing Updates,"As a QA engineer, I want updated tests for Cosmos so I can verify the migration works",Add integration tests for CosmosIndexerService (mock Tendermint WebSocket),Medium,Pending
Backend Migration - Cosmos SDK Integration,Testing Updates,"As a QA engineer, I want updated tests for Cosmos so I can verify the migration works",Add environment validation tests for COSMOS_* variables,Medium,Pending
Backend Migration - Cosmos SDK Integration,Hedera Deprecation,"As a DevOps engineer, I want to remove Hedera dependencies so the codebase is clean and only supports Cosmos",Remove @hiero-ledger/sdk package dependency from package.json,High,Pending
Backend Migration - Cosmos SDK Integration,Hedera Deprecation,"As a DevOps engineer, I want to remove Hedera dependencies so the codebase is clean and only supports Cosmos",Delete hedera.service.ts and hedera.config.ts files,High,Pending
Backend Migration - Cosmos SDK Integration,Hedera Deprecation,"As a DevOps engineer, I want to remove Hedera dependencies so the codebase is clean and only supports Cosmos",Delete hedera-indexer.service.ts (replaced by CosmosIndexerService),High,Pending
Backend Migration - Cosmos SDK Integration,Hedera Deprecation,"As a DevOps engineer, I want to remove Hedera dependencies so the codebase is clean and only supports Cosmos",Remove HEDERA_CONFIG from codebase and environment configs,High,Pending
Backend Migration - Cosmos SDK Integration,Hedera Deprecation,"As a DevOps engineer, I want to remove Hedera dependencies so the codebase is clean and only supports Cosmos",Remove HEDERA_* environment variables from .env.example and deployment configs,Medium,Pending
Backend Migration - Cosmos SDK Integration,Hedera Deprecation,"As a DevOps engineer, I want to remove Hedera dependencies so the codebase is clean and only supports Cosmos",Migrate existing hcs_hash values to cosmos_hash column in indexedComplaint table,Medium,Pending
Backend Migration - Cosmos SDK Integration,Hedera Deprecation,"As a DevOps engineer, I want to remove Hedera dependencies so the codebase is clean and only supports Cosmos",Drop hcs_hash column after successful migration,Low,Pending
Backend Migration - Cosmos SDK Integration,Hedera Deprecation,"As a DevOps engineer, I want to remove chain_type field since only Cosmos remains",Remove chain_type column from indexedComplaint (no longer needed - Cosmos only),Low,Pending
Backend Migration - Cosmos SDK Integration,Hedera Deprecation,"As a DevOps engineer, I want to remove Hedera dependencies so the codebase is clean and only supports Cosmos",Export Hedera topic messages to JSON archive file,Low,Pending
Backend Migration - Cosmos SDK Integration,Hedera Deprecation,"As a DevOps engineer, I want to remove Hedera dependencies so the codebase is clean and only supports Cosmos",Document Hedera topic IDs and archive location for reference,Low,Pending